### First 20 (#1–#20)
- **#1** LeetCode ID: `1` | **Arrays & Subarray Pattern Variation 4** | `Easy` | Topic: `Arrays` | Pattern: `Arrays & Subarrays Pattern` | **What You Learn:** Arrays: Array Indexing & Iteration | **Why It Comes Here:** `INTRODUCE` | [Practice →](https://leetcode.com/problems/arrays---subarray-pattern-variation-4/)
- **#2** LeetCode ID: `2` | **Roman to Integer Challenge** | `Easy` | Topic: `Strings` | Pattern: `Hashing & Array Optimization` | **What You Learn:** Strings: String Manipulation & ASCII Maps | **Why It Comes Here:** `CHANGE_PATTERN` | [Practice →](https://leetcode.com/problems/roman-to-integer/)
- **#3** LeetCode ID: `3` | **Arrays & Subarray Pattern Variation 10** | `Easy` | Topic: `Arrays` | Pattern: `Arrays & Subarrays Pattern` | **What You Learn:** Arrays: Array Indexing & Iteration | **Why It Comes Here:** `CHANGE_PATTERN` | [Practice →](https://leetcode.com/problems/arrays---subarray-pattern-variation-10/)
- **#4** LeetCode ID: `4` | **Longest Common Prefix Optimization** | `Easy` | Topic: `Strings` | Pattern: `Hashing & Array Optimization` | **What You Learn:** Strings: String Manipulation & ASCII Maps | **Why It Comes Here:** `CHANGE_PATTERN` | [Practice →](https://leetcode.com/problems/longest-common-prefix/)
- **#5** LeetCode ID: `5` | **Arrays & Subarray Pattern Variation 16** | `Easy` | Topic: `Arrays` | Pattern: `Arrays & Subarrays Pattern` | **What You Learn:** Arrays: Array Indexing & Iteration | **Why It Comes Here:** `CHANGE_PATTERN` | [Practice →](https://leetcode.com/problems/arrays---subarray-pattern-variation-16/)
- **#6** LeetCode ID: `6` | **Remove Element Challenge** | `Easy` | Topic: `Strings` | Pattern: `Hashing & Array Optimization` | **What You Learn:** Strings: String Manipulation & ASCII Maps | **Why It Comes Here:** `CHANGE_PATTERN` | [Practice →](https://leetcode.com/problems/remove-element/)
- **#7** LeetCode ID: `7` | **Arrays & Subarray Pattern Variation 22** | `Easy` | Topic: `Arrays` | Pattern: `Arrays & Subarrays Pattern` | **What You Learn:** Arrays: Array Indexing & Iteration | **Why It Comes Here:** `CHANGE_PATTERN` | [Practice →](https://leetcode.com/problems/arrays---subarray-pattern-variation-22/)
- **#8** LeetCode ID: `8` | **Find the Index of the First Occurrence in a String Optimization** | `Easy` | Topic: `Strings` | Pattern: `Hashing & Array Optimization` | **What You Learn:** Strings: String Manipulation & ASCII Maps | **Why It Comes Here:** `CHANGE_PATTERN` | [Practice →](https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/)
- **#9** LeetCode ID: `9` | **Arrays & Subarray Pattern Variation 28** | `Easy` | Topic: `Arrays` | Pattern: `Arrays & Subarrays Pattern` | **What You Learn:** Arrays: Array Indexing & Iteration | **Why It Comes Here:** `CHANGE_PATTERN` | [Practice →](https://leetcode.com/problems/arrays---subarray-pattern-variation-28/)
- **#10** LeetCode ID: `10` | **Search Insert Position Optimization** | `Easy` | Topic: `Strings` | Pattern: `Hashing & Array Optimization` | **What You Learn:** Strings: String Manipulation & ASCII Maps | **Why It Comes Here:** `CHANGE_PATTERN` | [Practice →](https://leetcode.com/problems/search-insert-position/)
- **#11** LeetCode ID: `11` | **Arrays & Subarray Pattern Variation 34** | `Easy` | Topic: `Arrays` | Pattern: `Arrays & Subarrays Pattern` | **What You Learn:** Arrays: Array Indexing & Iteration | **Why It Comes Here:** `CHANGE_PATTERN` | [Practice →](https://leetcode.com/problems/arrays---subarray-pattern-variation-34/)
- **#12** LeetCode ID: `12` | **Length of Last Word Challenge** | `Easy` | Topic: `Strings` | Pattern: `Hashing & Array Optimization` | **What You Learn:** Strings: String Manipulation & ASCII Maps | **Why It Comes Here:** `CHANGE_PATTERN` | [Practice →](https://leetcode.com/problems/length-of-last-word/)
- **#13** LeetCode ID: `13` | **Arrays & Subarray Pattern Variation 40** | `Easy` | Topic: `Arrays` | Pattern: `Arrays & Subarrays Pattern` | **What You Learn:** Arrays: Array Indexing & Iteration | **Why It Comes Here:** `CHANGE_PATTERN` | [Practice →](https://leetcode.com/problems/arrays---subarray-pattern-variation-40/)
- **#14** LeetCode ID: `14` | **Plus One Optimization** | `Easy` | Topic: `Strings` | Pattern: `Hashing & Array Optimization` | **What You Learn:** Strings: String Manipulation & ASCII Maps | **Why It Comes Here:** `CHANGE_PATTERN` | [Practice →](https://leetcode.com/problems/plus-one/)
- **#15** LeetCode ID: `15` | **Arrays & Subarray Pattern Variation 46** | `Easy` | Topic: `Arrays` | Pattern: `Arrays & Subarrays Pattern` | **What You Learn:** Arrays: Array Indexing & Iteration | **Why It Comes Here:** `CHANGE_PATTERN` | [Practice →](https://leetcode.com/problems/arrays---subarray-pattern-variation-46/)
- **#16** LeetCode ID: `16` | **Add Binary Challenge** | `Easy` | Topic: `Strings` | Pattern: `Hashing & Array Optimization` | **What You Learn:** Strings: String Manipulation & ASCII Maps | **Why It Comes Here:** `CHANGE_PATTERN` | [Practice →](https://leetcode.com/problems/add-binary/)
- **#17** LeetCode ID: `17` | **Arrays & Subarray Pattern Variation 52** | `Easy` | Topic: `Arrays` | Pattern: `Arrays & Subarrays Pattern` | **What You Learn:** Arrays: Array Indexing & Iteration | **Why It Comes Here:** `CHANGE_PATTERN` | [Practice →](https://leetcode.com/problems/arrays---subarray-pattern-variation-52/)
- **#18** LeetCode ID: `18` | **Sqrt(x) Optimization** | `Easy` | Topic: `Strings` | Pattern: `Hashing & Array Optimization` | **What You Learn:** Strings: String Manipulation & ASCII Maps | **Why It Comes Here:** `CHANGE_PATTERN` | [Practice →](https://leetcode.com/problems/sqrtx/)
- **#19** LeetCode ID: `19` | **Arrays & Subarray Pattern Variation 58** | `Easy` | Topic: `Arrays` | Pattern: `Arrays & Subarrays Pattern` | **What You Learn:** Arrays: Array Indexing & Iteration | **Why It Comes Here:** `CHANGE_PATTERN` | [Practice →](https://leetcode.com/problems/arrays---subarray-pattern-variation-58/)
- **#20** LeetCode ID: `20` | **Pascal's Triangle Challenge** | `Easy` | Topic: `Strings` | Pattern: `Hashing & Array Optimization` | **What You Learn:** Strings: String Manipulation & ASCII Maps | **Why It Comes Here:** `CHANGE_PATTERN` | [Practice →](https://leetcode.com/problems/pascals-triangle/)

### Sample #21–#30
- **#21** LeetCode ID: `21` | **Arrays & Subarray Pattern Variation 64** | `Easy` | Topic: `Arrays` | Pattern: `Arrays & Subarrays Pattern` | **What You Learn:** Arrays: Array Indexing & Iteration | **Why It Comes Here:** `CHANGE_PATTERN` | [Practice →](https://leetcode.com/problems/arrays---subarray-pattern-variation-64/)
- **#22** LeetCode ID: `22` | **Pascal's Triangle II Optimization** | `Easy` | Topic: `Strings` | Pattern: `Hashing & Array Optimization` | **What You Learn:** Strings: String Manipulation & ASCII Maps | **Why It Comes Here:** `CHANGE_PATTERN` | [Practice →](https://leetcode.com/problems/pascals-triangle-ii/)
- **#23** LeetCode ID: `23` | **Arrays & Subarray Pattern Variation 70** | `Easy` | Topic: `Arrays` | Pattern: `Arrays & Subarrays Pattern` | **What You Learn:** Arrays: Array Indexing & Iteration | **Why It Comes Here:** `CHANGE_PATTERN` | [Practice →](https://leetcode.com/problems/arrays---subarray-pattern-variation-70/)
- **#24** LeetCode ID: `24` | **Best Time to Buy and Sell Stock Optimization** | `Easy` | Topic: `Strings` | Pattern: `Hashing & Array Optimization` | **What You Learn:** Strings: String Manipulation & ASCII Maps | **Why It Comes Here:** `CHANGE_PATTERN` | [Practice →](https://leetcode.com/problems/best-time-to-buy-and-sell-stock/)
- **#25** LeetCode ID: `25` | **Arrays & Subarray Pattern Variation 76** | `Easy` | Topic: `Arrays` | Pattern: `Arrays & Subarrays Pattern` | **What You Learn:** Arrays: Array Indexing & Iteration | **Why It Comes Here:** `CHANGE_PATTERN` | [Practice →](https://leetcode.com/problems/arrays---subarray-pattern-variation-76/)
- **#26** LeetCode ID: `26` | **Excel Sheet Column Title Optimization** | `Easy` | Topic: `Strings` | Pattern: `Hashing & Array Optimization` | **What You Learn:** Strings: String Manipulation & ASCII Maps | **Why It Comes Here:** `CHANGE_PATTERN` | [Practice →](https://leetcode.com/problems/excel-sheet-column-title/)
